timestamp,fecha,nodo,cpu_uso,mem_disponible,storage_libre
1778607579,2026-05-12 17:39:39,node-exporter:9100,1.012,5647515648.0,997511892992.0
1778607639,2026-05-12 17:40:39,node-exporter:9100,1.1086,5630820352.0,997509599232.0
1778607699,2026-05-12 17:41:39,node-exporter:9100,1.0941,5624528896.0,997509505024.0
1778607759,2026-05-12 17:42:39,node-exporter:9100,1.1303,5636677632.0,997509419008.0
1778607819,2026-05-12 17:43:39,node-exporter:9100,1.144,5626179584.0,997509320704.0
